1,Νεόφυτος,Δαμαλά,1978-04-01,"Περάμου 66, ΤΚ 12405 Σπάρτη",2023-01-03,08:00:00,16:00:00,70000
2,Μαριάνθη,Κατσιγιάννη,1982-02-09,"Κυριακούλη 35, ΤΚ 154 05 Κοζάνη",2023-01-05,08:00:00,16:00:00,40000
3,Ηρόδοτος,Στεργιαλής,1991-12-21,"Βασιλειών 05, ΤΚ 80163 Πρέβεζα",2023-01-03,08:00:00,16:00:00,60000
4,Ερασμία,Παντζαρτζίδης,1990-04-27,"Κανελλή 68, ΤΚ 095 54 Τρίκαλα",2023-01-04,08:00:00,16:00:00,60000
5,Σώζων,Τσεμπερλίδης,1963-08-20,"Πάροδος Αθαμανίου 365, ΤΚ 25145 Ερμούπολη",2023-01-09,08:00:00,16:00:00,70000
6,Νικολίτσα,Πίτσης,1999-01-19,"Νυμφίου 90-82, 84902 Αγ. Νικόλαος",2023-01-01,08:00:00,16:00:00,20000
7,Γαρύφαλλος,Τσούρα,1990-02-27,"Χορτάτου 613, 33181 Βέροια",2023-01-01,08:00:00,16:00:00,30000
8,Ευλαμπία,Θεοδοσίου,1992-09-24,"Ντότση 032, ΤΚ 83332 Κόρινθος",2023-01-10,16:00:00,00:00:00,50000
9,Σεραφεία,Χαρισιάδης,1992-08-13,"Κρήνης Πατρών 66-51, 885 12 Λαμία",2023-01-01,16:00:00,00:00:00,60000
10,Ανδρονίκη,Τσώνης,2000-11-25,"Σύμης 23, ΤΚ 536 21 Άμφισσα",2023-01-01,08:00:00,16:00:00,40000
11,Ιακωβίνα,Τσανάκα,1964-10-16,"Φρατσίων 98, 41210 Σπάρτη",2023-01-04,08:00:00,16:00:00,50000
12,Ιάσονας,Πέτρου,1992-10-09,"Αγίου Γεωργίου Λαρίσης 37, ΤΚ 342 84 Κατερίνη",2023-01-01,16:00:00,00:00:00,20000
13,Μαρίνος,Γκούσκος,1973-08-24,"Μουρικίου 906-693, 63095 Σπάρτη",2023-01-06,08:00:00,16:00:00,30000
14,Θεοπίστη,Νταβάς,2004-03-05,"Θεοδωροπούλου 6, 01607 Βέροια",2023-01-10,08:00:00,16:00:00,90000
15,Λαζαρία,Λάππας,1980-03-11,"Πλατεία Μαλγάρων 747, ΤΚ 562 90 Ιωάννινα",2023-01-05,16:00:00,00:00:00,80000
16,Δαμιανός,Κώττας,1979-11-06,"Πλ. Χίνκας 605-617, 85915 Αγ. Νικόλαος",2023-01-04,08:00:00,16:00:00,60000
17,Πολυκράτης,Κολοκάθης,1972-02-17,"Κελεφά 7, 086 71 Καστοριά",2023-01-06,16:00:00,00:00:00,20000
18,Κηρύκος,Σακελλαρίου,1999-03-14,"Χαβριάτων 63, 80413 Μεσολόγγι",2023-01-08,16:00:00,00:00:00,30000
19,Νεκτάριος,Κουκουβά,1975-02-26,"Σπηλιάς 58-41, 317 24 Σάμος",2023-01-09,16:00:00,00:00:00,10000
20,Θησεύς,Κομπολιάς,1975-02-07,"Τρικάλων 47-01, ΤΚ 14441 Πάτρα",2023-01-05,16:00:00,00:00:00,30000
21,Θεόδουλος,Μποφός,1973-09-23,"Καρολίδου 66, 306 08 Μεσολόγγι",2023-01-04,16:00:00,00:00:00,60000
22,Φαίδρα,Νούσης,1979-05-20,"Σινεβρού 86, 392 91 Πολύγυρος",2023-01-10,16:00:00,00:00:00,40000
23,Ευθύμιος,Ρωμαίου,2004-04-04,"Δαΐκου 19, 61433 Πρέβεζα",2023-01-01,16:00:00,00:00:00,100000
24,Ρεβέκα,Τσιατής,1995-05-08,"Ζαχλωριτίκων 5, ΤΚ 17284 Άμφισσα",2023-01-05,08:00:00,16:00:00,60000
25,Ταξιάρχης,Κοκκίνου,1996-02-11,"Κοίτας 98-16, 77193 Ρέθυμνο",2023-01-02,08:00:00,16:00:00,70000
26,Ξανθός,Σπορδιλής,1977-10-30,"Κομάνου 51, 87418 Αλεξανδρούπολη",2023-01-08,08:00:00,16:00:00,60000
27,Φραντζέσκα,Γιαννακίτσας,1970-03-21,"Πλ. Χανδρά 476, ΤΚ 92965 Ρέθυμνο",2023-01-01,08:00:00,16:00:00,100000
28,Αρτέμιος,Βουτσελας,1969-06-11,"Θεοδωρακείου 799-341, ΤΚ 981 27 Θεσσαλονίκη",2023-01-09,08:00:00,16:00:00,90000
29,Μάνθα,Τερζής,1983-09-12,"Καλλιπεύκης 405-043, 276 40 Πολύγυρος",2023-01-07,16:00:00,00:00:00,100000
30,Αχιλλέας,Αγγελόπουλος,2005-03-26,"Πραιτωρίων 26, 29351 Ηράκλειο",2023-01-05,16:00:00,00:00:00,30000
31,Αναστάσιος,Κωνσταντακόπουλος,1996-02-21,"Ζίχνης 35-04, 73158 Τρίπολη",2023-01-05,08:00:00,16:00:00,80000
